Date,Day,Slot Time,Court 1,Court 2,Court 3,Court 4,Last checked
15 Sep 2026,Tue,12:00 am to 12:30 am,Not Booked,,,,15 Sep 00:37
15 Sep 2026,Tue,12:30 am to 1:00 am,Not Booked,Not Booked,,Not Booked,15 Sep 00:37
15 Sep 2026,Tue,1:00 am to 1:30 am,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 01:06
15 Sep 2026,Tue,1:30 am to 2:00 am,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 01:31
15 Sep 2026,Tue,2:00 am to 2:30 am,,,,,
15 Sep 2026,Tue,2:30 am to 3:00 am,,,,,
15 Sep 2026,Tue,3:00 am to 3:30 am,,,,,
15 Sep 2026,Tue,3:30 am to 4:00 am,,,,,
15 Sep 2026,Tue,4:00 am to 4:30 am,,,,,
15 Sep 2026,Tue,4:30 am to 5:00 am,,,,,
15 Sep 2026,Tue,5:00 am to 5:30 am,,,,,
15 Sep 2026,Tue,5:30 am to 6:00 am,,,,,
15 Sep 2026,Tue,6:00 am to 6:30 am,,,,,
15 Sep 2026,Tue,6:30 am to 7:00 am,,,,,
15 Sep 2026,Tue,7:00 am to 7:30 am,,,,,
15 Sep 2026,Tue,7:30 am to 8:00 am,,,,,
15 Sep 2026,Tue,8:00 am to 8:30 am,,,,,
15 Sep 2026,Tue,8:30 am to 9:00 am,,,,,
15 Sep 2026,Tue,9:00 am to 9:30 am,,,,,
15 Sep 2026,Tue,9:30 am to 10:00 am,,,,,
15 Sep 2026,Tue,10:00 am to 10:30 am,,,,,
15 Sep 2026,Tue,10:30 am to 11:00 am,,,,,
15 Sep 2026,Tue,11:00 am to 11:30 am,,,,,
15 Sep 2026,Tue,11:30 am to 12:00 pm,,,,,
15 Sep 2026,Tue,12:00 pm to 12:30 pm,,,,,
15 Sep 2026,Tue,12:30 pm to 1:00 pm,,,,,
15 Sep 2026,Tue,1:00 pm to 1:30 pm,,,,,
15 Sep 2026,Tue,1:30 pm to 2:00 pm,,,,,
15 Sep 2026,Tue,2:00 pm to 2:30 pm,,,,,
15 Sep 2026,Tue,2:30 pm to 3:00 pm,,,,,
15 Sep 2026,Tue,3:00 pm to 3:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,3:30 pm to 4:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,4:00 pm to 4:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,4:30 pm to 5:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,5:00 pm to 5:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,5:30 pm to 6:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,6:00 pm to 6:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,6:30 pm to 7:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,7:00 pm to 7:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,7:30 pm to 8:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,8:00 pm to 8:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,8:30 pm to 9:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,9:00 pm to 9:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,9:30 pm to 10:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,10:00 pm to 10:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,10:30 pm to 11:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,11:00 pm to 11:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
15 Sep 2026,Tue,11:30 pm to 12:00 am,Not Booked,Not Booked,Not Booked,Not Booked,15 Sep 12:11
