Date,Day,Slot Time,Court 1,Court 2,Last checked
19 Sep 2026,Sat,12:00 am to 12:30 am,,Not Booked,19 Sep 01:04
19 Sep 2026,Sat,12:30 am to 1:00 am,Not Booked,Not Booked,19 Sep 01:04
19 Sep 2026,Sat,1:00 am to 1:30 am,,,
19 Sep 2026,Sat,1:30 am to 2:00 am,,,
19 Sep 2026,Sat,2:00 am to 2:30 am,,,
19 Sep 2026,Sat,2:30 am to 3:00 am,,,
19 Sep 2026,Sat,3:00 am to 3:30 am,,,
19 Sep 2026,Sat,3:30 am to 4:00 am,,,
19 Sep 2026,Sat,4:00 am to 4:30 am,,,
19 Sep 2026,Sat,4:30 am to 5:00 am,,,
19 Sep 2026,Sat,5:00 am to 5:30 am,Not Booked,Not Booked,19 Sep 04:30
19 Sep 2026,Sat,5:30 am to 6:00 am,Not Booked,Not Booked,19 Sep 04:30
19 Sep 2026,Sat,6:00 am to 6:30 am,Not Booked,Not Booked,19 Sep 06:12
19 Sep 2026,Sat,6:30 am to 7:00 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,7:00 am to 7:30 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,7:30 am to 8:00 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,8:00 am to 8:30 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,8:30 am to 9:00 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,9:00 am to 9:30 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,9:30 am to 10:00 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,10:00 am to 10:30 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,10:30 am to 11:00 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,11:00 am to 11:30 am,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,11:30 am to 12:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,12:00 pm to 12:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,12:30 pm to 1:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,1:00 pm to 1:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,1:30 pm to 2:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,2:00 pm to 2:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,2:30 pm to 3:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,3:00 pm to 3:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,3:30 pm to 4:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,4:00 pm to 4:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,4:30 pm to 5:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,5:00 pm to 5:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,5:30 pm to 6:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,6:00 pm to 6:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,6:30 pm to 7:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,7:00 pm to 7:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,7:30 pm to 8:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,8:00 pm to 8:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,8:30 pm to 9:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,9:00 pm to 9:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,9:30 pm to 10:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,10:00 pm to 10:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,10:30 pm to 11:00 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,11:00 pm to 11:30 pm,Not Booked,Not Booked,19 Sep 06:34
19 Sep 2026,Sat,11:30 pm to 12:00 am,Not Booked,Not Booked,19 Sep 06:34
